gpu_name,gpu_price,gpu_date
EVGA GeForce RTX 3060 Ti FTW3 ULTRA GAMING LHR 8GB GDDR6 ,629.94,2022-05-21
EVGA GeForce RTX 3060 Ti XC Gaming,610,2022-05-21
EVGA GeForce RTX 3060 XC Black Gaming,650,2022-05-21
EVGA GeForce RTX 3060 XC Gaming,518,2022-05-21
EVGA GeForce RTX 3060 XC Gaming 12GB GDDR6 ,499.95,2022-05-21
EVGA GeForce RTX 3070 FTW3 Ultra Gaming,689,2022-05-21
EVGA GeForce RTX 3070 FTW3 ULTRA GAMING 8GB LHR GDDR6 ,799.94,2022-05-21
EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming,829,2022-05-21
EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING 8GB GDDR6X ,934.95,2022-05-21
EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming,1399,2022-05-21
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X ,1699.95,2022-05-21
EVGA GeForce RTX 3080 XC3 BLACK GAMING 10GB GDDR6X ,999.94,2022-05-21
EVGA GeForce RTX 3090 FTW3 Ultra Gaming,1799,2022-05-21
EVGA GeForce RTX 3090 FTW3 Ultra Gaming 24GB GDDR6X ,2199.95,2022-05-21
EVGA GeForce RTX 3090 Ti FTW3 24GB GDDR6X ,2599.94,2022-05-21
EVGA GeForce RTX 3090 Ti FTW3 BLACK 24GB GDDR6X ,3199.95,2022-05-21
EVGA GeForce RTX 3090 Ti FTW3 ULTRA GAMING 24GB GDDR6X ,2649.95,2022-05-21
GIGABYTE AORUS GeForce RTX 3060 Elite 12G ,519,2022-05-21
GIGABYTE AORUS GeForce RTX 3060 Elite 12G Graphics Card,706,2022-05-21
Gigabyte AORUS GeForce RTX 3070 Ti MASTER LHR 8GB ,1039.95,2022-05-21
Gigabyte AORUS GeForce RTX 3080 Ti MASTER 12GB GDDR6X ,1859.94,2022-05-21
Gigabyte AORUS GeForce RTX 3090 Ti XTREME WB 24GB GDDR6X ,2459.95,2022-05-21
GIGABYTE AORUS RTX 3080 Gaming Box ,1103,2022-05-21
Gigabyte GeForce RTX 3050 EAGLE Gaming 8GB GDDR6 ,309.95,2022-05-21
GIGABYTE GeForce RTX 3050 Eagle OC 8G Graphics Card,349,2022-05-21
GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card,379,2022-05-21
Gigabyte GeForce RTX 3050 GAMING OC 8GB GDDR6 ,429.95,2022-05-21
GIGABYTE GeForce RTX 3060 Eagle OC 12G ,543,2022-05-21
Gigabyte GeForce RTX 3060 EAGLE OC 12GB GDDR6 ,529.94,2022-05-21
Gigabyte GeForce RTX 3060 EAGLE OC LHR 12GB GDDR6 ,519.95,2022-05-21
GIGABYTE GeForce RTX 3060 Gaming OC 12G ,439,2022-05-21
GIGABYTE GeForce RTX 3060 Gaming OC 12G Graphics Card,499,2022-05-21
Gigabyte GeForce RTX 3060 Gaming OC LHR 12GB GDDR6 ,639.94,2022-05-21
Gigabyte GeForce RTX 3060 Ti AORUS ELITE LHR 8GB GDDR6 ,769.95,2022-05-21
Gigabyte GeForce RTX 3060 Ti GAME OC PRO LHR 8GB GDDR6 ,649.94,2022-05-21
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8GB GDDR6 ,599.94,2022-05-21
Gigabyte GeForce RTX 3060 Ti OC Gaming LHR 8GB GDDR6 ,649.95,2022-05-21
Gigabyte GeForce RTX 3060 Ti VISION OC LHR 8G GDDR6 ,649.95,2022-05-21
GIGABYTE GeForce RTX 3060 Vision OC 12G ,599,2022-05-21
Gigabyte GeForce RTX 3060 Vision OC LHR 12GB GDDR6 ,539.94,2022-05-21
Gigabyte GeForce RTX 3070 AORUS MASTER LHR 8GB GDDR6 ,889.94,2022-05-21
Gigabyte GeForce RTX 3070 GAMING OC LHR 8GB GDDR6 ,799.94,2022-05-21
Gigabyte GeForce RTX 3070 Ti EAGLE OC 8GB GDDR6 ,828.95,2022-05-21
Gigabyte GeForce RTX 3070 Ti Gaming OC 8GB GDDR6X ,889.94,2022-05-21
GIGABYTE GeForce RTX 3070 Ti Vision OC 8G Graphics Card,904,2022-05-21
Gigabyte GeForce RTX 3070 Ti VISION OC 8GB GDDR6 ,929.95,2022-05-21
Gigabyte GeForce RTX 3080 AORUS MASTER LHR 10GB GDDR6X ,1199.94,2022-05-21
Gigabyte GeForce RTX 3080 GAMING OC LHR 10GB GDDR6X ,1104.95,2022-05-21
Gigabyte GeForce RTX 3080 GAMING OC WF WB LHR 10GB GDDR6X ,1399.95,2022-05-21
GIGABYTE GeForce RTX 3080 Ti Gaming OC 12G Graphics Card,1359,2022-05-21
Gigabyte GeForce RTX 3080 Ti Gaming OC 12GB GDDR6X ,1649.94,2022-05-21
Gigabyte GeForce RTX 3080 Vision OC LHR 2.0 10GB GDDR6X ,1149.95,2022-05-21
Gigabyte GeForce RTX 3090 GAMING OC 24GB GDDR6X ,2129.95,2022-05-21
Gigabyte GeForce RTX 3090 Ti Gaming 24GB GDDR6X  ,2249.95,2022-05-21
Gigabyte GeForce RTX 3090 Ti Gaming OC 24GB GDDR6X  ,2389.96,2022-05-21
MAXSUN GeForce RTX 3060 iCraft OC Edtion 12G GDDR6 Vidoe Gaming Graphics Card PCI Express 4.0 x16 HDMI 2.1 GPU,579,2022-05-21
MSI Gaming GeForce RTX 3050 8GB GDDR6 128,339,2022-05-21
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192,535,2022-05-21
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192,474,2022-05-21
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Twin,529,2022-05-21
MSI Gaming GeForce RTX 3060 Ti LHR 8GB GDRR6 256,632,2022-05-21
MSI Gaming GeForce RTX 3070 LHR 8GB GDRR6 256,719,2022-05-21
MSI Gaming GeForce RTX 3070 Ti 8GB GDRR6X 256,799,2022-05-21
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri,1749,2022-05-21
MSI GeForce RTX 3050 AERO ITX 8GB GDDR6 ,399.94,2022-05-21
MSI GeForce RTX 3050 GAMING X 8GB GDDR6 ,404.94,2022-05-21
MSI GeForce RTX 3060 AERO ITX OC 12GB GDDR6 ,464.94,2022-05-21
MSI GeForce RTX 3060 GAMING Z TRIO 12GB GDDR6 ,729.94,2022-05-21
MSI GeForce RTX 3060 Ti VENTUS 3X OC LHR 8GB GDDR6 ,614.95,2022-05-21
MSI GeForce RTX 3060 VENTUS 2X OC 12GB GDDR6 ,479.95,2022-05-21
MSI GeForce RTX 3060 VENTUS 3X OC 12GB GDDR6 ,499.95,2022-05-21
MSI GeForce RTX 3070 GAMING Z TRIO LHR 8GB GDDR6 ,849.90,2022-05-21
MSI GeForce RTX 3070 Ti GAMING X TRIO 8GB GDDR6X ,899.95,2022-05-21
MSI GeForce RTX 3070 Ti VENTUS 3X LHR 8GB GDDR6X ,999.94,2022-05-21
MSI GeForce RTX 3070 Ti VENTUS 3X OC 8GB GDDR6X ,889.96,2022-05-21
MSI GeForce RTX 3080 Ti GAMING X TRIO 12GB GDDR6X ,1729.95,2022-05-21
MSI GeForce RTX 3080 Ti VENTUS 3X OC 12GB GDDR6X ,1399.95,2022-05-21
